EIAID	Utility Name	State	eiaSTATE	ProgramID	Program Name	Wind	Solar	Bio	Hydro	Geo	Other	Cost (c/kwh) 	Cost Range (c/kwh)	Credit (Y/N)	Credit (c/kwh)	Blocks Available	Block Size (kWh)	Block Cost ($)	Percentage Options	Percentage Range	Contract Lengths	Monthly Minimum	Termination Fee (Y/N)	Termination Cost (Description)	Green-e	RECs Retired?	Revenue Neutral?	Retail	Waitlist (Y/N)	Rating (TBD for now)	Link to Sign-up Form	Sign-Up URL	Step 1	Step 2	Step 3	Step 4	Step 5	Link to FAQ's	FAQ URL	sign in required?	account name required?	account number?	Address?	Enrollment choices?	must be printed/mailed?	Email	Contact URL	Phone	Date Updated	Notes	Production
4254	Consumers Energy Co	MI	4254MI	4254MI1	Green Generation	0.7		0.3			0	1				Any	150	1.5	100		Monthly	12-month	No			Yes			Yes		Program Information	https://www.consumersenergy.com/residential/renewable-energy/green-generation														greenpower@cmsenergy.com		517 788 2983	10-25-2019	waitlist is currently full	1
19327	TXU Energy Retail Co, LLC	TX	19327TX	19327TX1	GreenUp	1					0																	Yes																		Contact Us Form	https://www.txu.com/en/help-center/contact-us/email-form.aspx	972 791 2888	12-1-2019	TXU Energy Retail	0
19327	TXU Energy Retail Co, LLC	TX	19327TX	19327TX2	Solar Advantage		1				0																	Yes																					12-1-2019	TXU Energy Retail	0
11208	Los Angeles Department of Water & Power	CA	11208CA	11208CA1	Green Power	1					0					No			100		Monthly										Enroll Now	https://www.ladwp.com/oamsso/login.html?contextType=external&username=string&contextValue=%2Foam&password=sercure_string&challenge_url=https%3A%2F%2Fwww.ladwp.com%2Foamsso%2Flogin.html&request_id=-6411536945952707840&authn_try_count=0&locale=en_US&resource_url=https%253A%252F%252Fwww.ladwp.com%252Fladwp%252Ffaces%252FRequestService%253F_afrLoop%253D1595303046844572%2526_afrWindowMode%253D0%2526	log in to account 																10-20-2019	3 size levels of consumers, different minimum purchase amounts 	1
16609	San Diego Gas & Electric Co	CA	16609CA	16609CA1	EcoChoice		1				0	-0.438				No				50-100	Monthly	12-month	Yes		Yes	Yes			Yes		Enroll Now	https://sdge-eecp.semprautilities.com/OnlineApp/#enrollment/?programId=180	enter account number	enter street number	enter zip code	hit submit										CTTS@sdge.com			10-25-2019		1
195	Alabama Power Co	AL	195AL	195AL1	Greener State						1	0.125				Any	1000	1.25	100		12-month	12-month	No								Choose Your Plan	https://greenerstate.com/residential/	fill out order																10-27-2019	3 organized plans with set monthly fees, and a customizable plan	1
15847	Reliant Energy Retail Services	TX	15847TX	15847TX1	Reliant Local Solar 12 Plan		1				0		13.9-16.5			Fixed	500;1000;2000	82.50;148;278			12-month	12-month	No			Yes		Yes			Enroll Now	https://www.reliant.com/public/signUp.htm																	10-29-2019	look into wind plan	0
15466	Public Service Co of Colorado	CO	15466CO	15466CO1	Renewable Connect		1				0	4.4			3.7				100		Monthly;5-year;10-year	No	Yes	Total Cost of Remaining Contract	Yes	Yes					Waitlist Enroll	https://myaccount.xcelenergy.com/oam/programOpportunity.req?page=renewableconnect	sign in or register																10-30-2019		1
15466	Public Service Co of Colorado	CO	15466CO	15466CO2	Windsource	1					0	1.5				Any	100	1.5	100		Monthly	No	No		Yes	Yes					Enroll Now	https://www.xcelenergy.com/programs_and_rebates/residential_programs_and_rebates/renewable_energy_options_residential/windsource_for_residences/residential_windsource_sign_up	fill out form	submit															10-30-2019		1
13573	Niagara Mohawk Power Corp.	NY	13573NY	13573NY1	ClearGreenGurantee12						1	5.09									12-month	12-month	Yes					Yes			Enroll Now	https://www.chooseenergy.com/shop/checkout/residential/NY/13208/personal-info/?electricity=234164&eSlug=clearview-energy-ny-residential-electricity&electricityUtilitySlug=national-grid-ny-electricity&ref=DESKTOP																	10-30-2019	through separate website than the energy provider?	0
13573	Niagara Mohawk Power Corp.	NY	13573NY	13573NY2	GreenValueAssurance6						1	5.59									6-month	No	No					Yes			Enroll Now	https://www.chooseenergy.com/shop/checkout/residential/NY/13208/personal-info/?electricity=230466&eSlug=clearview-energy-ny-residential-electricity&electricityUtilitySlug=national-grid-ny-electricity&ref=DESKTOP																	11-01-2019	through separate website than the energy provider?	0
13573	Niagara Mohawk Power Corp.	NY	13573NY	13573NY3	12 Month Green Electricity Plan	1					0	5.95									12-month	No	Yes					Yes			Enroll Now	https://www.constellation.com/content/constellation/en/solutions/for-your-home/residential-signup.html?zip=13203&promoCode=ROCKSTAR	fill in information																11-01-2019	through separate website than the energy provider?	0
803	Arizona Public Service Co	AZ	803AZ	803AZ1	Green Choice Program 	0.86		0.14			0	1.02				Any	100	1.02	10;35;50;100;		12-month	12-month									Choose Option	https://www.aps.com/en/Residential/Service-Plans/Compare-Service-Plans/Green-Choice-Program	select option	fill out form	sign up														11-02-2019		1
54820	Direct Energy Services	TX	54820TX	54820TX1	Green Texas 12						1		11.8-13.5			No			100		12-month	12-month	Yes	135		Yes					Shop Electricity Plans	https://www.directenergy.com/ct/electricity-plans	enter zip code	select service provider	filter by: green energy	select Green Texas 12	log in or enter new info												11-02-2019	Direct Energy Services	0
54820	Direct Energy Services	NY	54820NY	54820NY2	Go Green Lights 24						1		5.69-9.99			No			100		24-month	24-month	No			Yes		Yes			Shop Electricity Plans	https://www.directenergy.com/ct/electricity-plans	enter zip code	select service provider	filter by: green energy	select Go Green Lights 24	log in or enter new info												11-02-2019	Direct Energy Services	0
54820	Direct Energy Services	IL	54820IL	54820IL3	Go Green Lights 24						1	8.69				No			100		24-month	24-month	No			Yes		Yes			Shop Electricity Plans	https://www.directenergy.com/ct/electricity-plans	enter zip code	select service provider	filter by: green energy	select Go Green Lights 24	log in or enter new info												11-02-2019	Direct Energy Services	0
54820	Direct Energy Services	PA	54820PA	54820PA4	Go Green Lights 24						1		5.89-7.59			No			100		24-month	24-month	No			Yes		Yes			Shop Electricity Plans	https://www.directenergy.com/ct/electricity-plans	enter zip code	select service provider	filter by: green energy	select Go Green Lights 24	log in or enter new info												11-02-2019	Direct Energy Services	0
54820	Direct Energy Services	OH	54820OH	54820OH5	Go Green Lights 24						1		5.39-5.89			No			100		24-month	24-month	No			Yes		Yes			Shop Electricity Plans	https://www.directenergy.com/ct/electricity-plans	enter zip code	select service provider	filter by: green energy	select Go Green Lights 24	log in or enter new info												11-02-2019	Direct Energy Services	0
54820	Direct Energy Services	MA	54820MA	54820MA6	Go Green Lights 12						1	12.99				No			100		12-month	12-month	No			Yes		Yes			Shop Electricity Plans	https://www.directenergy.com/ct/electricity-plans	enter zip code	select service provider	filter by: green energy	select Go Green Lights 12	log in or enter new info												11-02-2019	Direct Energy Services	0
54820	Direct Energy Services	MA	54820MA	54820MA7	Go Green Lights 14						1	11.78				No			100		14-month	14-month	No			Yes		Yes			Shop Electricity Plans	https://www.directenergy.com/ct/electricity-plans	enter zip code	select service provider	filter by: green energy	select Go Green Lights 14	log in or enter new info												11-02-2019	Direct Energy Services	0
54820	Direct Energy Services	MA	54820MA	54820MA8	Go Green Lights 18						1	12.79				No			100		18-month	18-month	No			Yes		Yes			Shop Electricity Plans	https://www.directenergy.com/ct/electricity-plans	enter zip code	select service provider	filter by: green energy	select Go Green Lights 18	log in or enter new info												11-02-2019	Direct Energy Services	0
54820	Direct Energy Services	MA	54820MA	54820MA9	Go Green Lights 36						1	12.59				No			100		36-month	36-month	No			Yes		Yes			Shop Electricity Plans	https://www.directenergy.com/ct/electricity-plans	enter zip code	select service provider	filter by: green energy	select Go Green Lights 36	log in or enter new info												11-02-2019	Direct Energy Services	0
54820	Direct Energy Services	CT	54820CT	54820CT10	Go Green Lights 24						1		9.29-9.79			No			100		24-month	24-month	No			Yes		Yes			Shop Electricity Plans	https://www.directenergy.com/ct/electricity-plans	enter zip code	select service provider	filter by: green energy	select Go Green Lights 24	log in or enter new info												11-02-2019	Direct Energy Services	0
54820	Direct Energy Services	MD	54820MD	54820MD11	Go Green Lights 24						1		6.29-8.09			No			100		24-month	24-month	No			Yes		Yes			Shop Electricity Plans	https://www.directenergy.com/ct/electricity-plans	enter zip code	select service provider	filter by: green energy	select Go Green Lights 24	log in or enter new info												11-02-2019	Direct Energy Services	0
54820	Direct Energy Services	NJ	54820NJ	54820NJ12	Go Green Lights 24						1		9.89-13.29			No			100		24-month	24-month	No			Yes		Yes			Shop Electricity Plans	https://www.directenergy.com/ct/electricity-plans	enter zip code	select service provider	filter by: green energy	select Go Green Lights 24	log in or enter new info												11-02-2019	Direct Energy Services	0
54820	Direct Energy Services	NH	54820NH	54820NH13	Go Green Lights 24						1	8.59				No			100		24-month	24-month	No			Yes		Yes			Shop Electricity Plans	https://www.directenergy.com/ct/electricity-plans	enter zip code	select service provider	filter by: green energy	select Go Green Lights 24	log in or enter new info												11-02-2019	Direct Energy Services	0
54820	Direct Energy Services	DE	54820DE	54820DE14	Go Green Lights 24						1	7.09				No			100		24-month	24-month	No			Yes		Yes			Shop Electricity Plans	https://www.directenergy.com/ct/electricity-plans	enter zip code	select service provider	filter by: green energy	select Go Green Lights 24	log in or enter new info												11-02-2019	Direct Energy Services	0
54820	Direct Energy Services	DC	54820DC	54820DC15	Go Green Lights 24						1	8.29				No			100		24-month	24-month	No			Yes		Yes			Shop Electricity Plans	https://www.directenergy.com/ct/electricity-plans	enter zip code	select service provider	filter by: green energy	select Go Green Lights 24	log in or enter new info												11-02-2019	Direct Energy Services	0
19436	Union Electric Co - (MO)	MO	19436MO	19436MO1	Pure Power	1					0			No		Max 2	500		100		Monthly	No	No		Yes	Yes	Yes?				Enroll Now	https://www.ameren.com/Account/Login?target=https%3A%2F%2Fwww.ameren.com%2Faccount%2Fprot%2Fmanage-profile-programs%3Fop%3Dpurepower	enter user id and password																11-03-2019	part in FAQ about how they do not make money off of this program, revenue neutral?	1
20847	Wisconsin Electric Power Co	WI	20847WI	20847WI1	Energy for Tomorrow	0.71	0.01	0.28			0		.502-2.007			No			25;50;100		Monthly	No	No		Yes						Enroll Now	https://www.we-energies.com/secure/energy_for_tomorrow.htm	select level	fill out info	acknowledge terms and conditions	sign up													11-03-2019		1
20847	Wisconsin Electric Power Co	MI	20847MI	20847MI2	Energy for Tomorrow	0.71	0.01	0.28			0		.502-2.007			No			25;50;100		Monthly	No	No		Yes						Enroll Now	https://www.we-energies.com/secure/energy_for_tomorrow.htm	select level	fill out info	acknowledge terms and conditions	sign up													11-03-2019		1
15500	Puget Sound Energy Inc	WA	15500WA	15500WA1	Solar Choice		1				0	3.33				Any	150		100		Monthly	No	No		Yes		Yes?				Enroll Now	https://www.pse.com/login	sign in  																11-03-2019	part in FAQ about how they do not make money off of this program, revenue neutral?	1
15500	Puget Sound Energy Inc	WA	15500WA	15500WA2	Green Power	0.6	0.3	0.08	0.01	0.01	0					Min 2	200		100		Monthly	No	No		Yes		Yes?				Enroll Now	https://www.pse.com/login	sign in																11-08-2019		1
16572	Salt River Project	AZ	16572AZ	16572AZ1	EarthWise Energy	0.34	0.33	0.33			0					No			25;50;100		Monthly	No	No			Yes					Enroll Now	https://myaccount.srpnet.com/power/earthwiseenergy	scroll down	fill out info	submit														11-08-2019		1
13407	Nevada Power Co	NV	13407NV	13407NV1	Green Energy Choice		0.1		0.05	0.85	0	4.2				No			50;100		12-month	12-month				Yes					Enroll Now	https://www.nvenergy.com/account-services/energy-pricing-plans/green-energy/sign-up	enter info	continue	review	confirm													11-08-2019		1
1167	Baltimore Gas & Electric Co	MD	1167MD	1167MD1	Eco-Advantage	1					0	6.65				No			100		12-month	12-month	No		Yes						Enroll Now	https://enroll.aepenergy.com/acquisition/zipcode	enter zip code	select option with renewable energy	hit next	fill out information	complete enrollment												11-08-2019	through AEP Energy for Baltimore Gas and Electric	1
1167	Baltimore Gas & Electric Co	MD	1167MD	1167MD2	Pure Wind	1					0		2.3-2.5			No			50;100		Monthly	No	No		Yes						Enroll Now	https://www.ageraenergy.com/your-business/renewable-energy-certificates-business/	scroll down	enroll now	enter zip code														11-09-2019	through Agera energy for Baltimore Gas and Electric	1
1167	Baltimore Gas & Electric Co	MD	1167MD	1167MD3	GreenChoice  	1					0	1.5				Max 3	500	7.5			Monthly				Yes						Enroll Now	https://www.agwayenergy.com/utility-form/?commodity=electric&customerType=resi&state=maryland	select BG&E	click here to hear more about Agway GreenChoice Program	change button to yes	continue	fill out information												11-09-2019	through Agway Energy services for Baltimore Gas and Electric (BG&E)	1
1167	Baltimore Gas & Electric Co	MD	1167MD	1167MD4	Green Plan	1					0	9.0946							100		Monthly	No	No		Yes						Enroll Now	https://www.ambitenergy.com/rates-and-plans/green-energy	enter zip code	select electric service plans	select green plan	hit next	fill out information												11-09-2019	through Ambit energy for BG&E	1
1167	Baltimore Gas & Electric Co	MD	1167MD	1167MD5	Real Green Energy						1	5.89									24-month	24-month	No								Enroll Now	https://www.americanpowerandgas.com	select enroll now	enter zip code	select BG&E for electric provider	select real green energy and continue	fill out information												11-09-2019	through American Power and Gas	1
1167	Baltimore Gas & Electric Co	MD	1167MD	1167MD6	GreenGurantee12Plus						1	6.39						9.99			12-month	12-month	Yes	50							Enroll Now	https://www.chooseenergy.com/shop/checkout/residential/MD/21237/personal-info/?electricity=234141&eSlug=clearview-energy-md-residential-electricity&electricityUtilitySlug=baltimore-gas-electric-co-md-electricity&ref=DESKTOP	fill out information																11-09-2019	through choose energy- clearview energy for BG&E	1
1167	Baltimore Gas & Electric Co	MD	1167MD	1167MD7	ClearGreenGurantee12						1	6.99									12-month	12-month	Yes	50							Enroll Now	https://www.chooseenergy.com/shop/checkout/residential/MD/21237/personal-info/?electricity=237040&eSlug=clearview-energy-md-residential-electricity&electricityUtilitySlug=baltimore-gas-electric-co-md-electricity&ref=DESKTOP	fill out information																11-09-2019	through choose energy- clearview energy for BG&E	1
1167	Baltimore Gas & Electric Co	MD	1167MD	1167MD8	GreenValueAssurance6						1	7.49									Monthly	6-month	No								Enroll Now	https://www.chooseenergy.com/shop/plan-details/clearview-energy/baltimore-gas-electric-co-md-electricity/green-value-assurance6-195-16878/	fill out information																11-09-2019	through choose energy- clearview energy for BG&E	1
1167	Baltimore Gas & Electric Co	MD	1167MD	1167MD9	Green Home Power Plan	1					0	7.19									12-month	12-months	Yes	150							Enroll Now	https://www.chooseenergy.com/shop/checkout/residential/MD/21201/personal-info/?electricity=236236&eSlug=constellation-md-residential-electricity&electricityUtilitySlug=baltimore-gas-electric-co-md-electricity&ref=DESKTOP	fill out information																11-09-2019	through choose energy- constellation for BG&E	1
14006	Ohio Power Co	OH	14006OH	14006OH1	AllGreen	1					0		5-5.47			Fixed	1000	50-54.7	100		Monthly	Up to 24 months	Yes	50	Yes	Yes					Enroll Now	https://www.fes.com/content/fes/offers/enroll/res-enroll.html	fill out information																11-09-2019	First energy solutions	1
4176	Connecticut Light & Power Co	CT	4176CT	4176CT1	Green Home Power Plan	1					0	8.99				No			100		24-month	24-month	Yes	50							Enroll Now	https://www.constellation.com/solutions/for-your-home/home-energy-options/renewable-energy.html	enter zip code	select green home power plan	enter information	continue													11-11-2019	for connecticut light and power, also known as eversource, through a third party service provider called constellation	1
4176	Connecticut Light & Power Co	CT	4176CT	4176CT2	ClearGreenGurantee6						1	7.89									6-month	6-month	Yes	50							Enroll Now	https://www.clearviewenergy.com/new_enrollment?PlanNumber=2754	fill out information																11-11-2019	for connecticut light and power, also known as eversource, through a third party service provider called clearview	1
4176	Connecticut Light & Power Co	CT	4176CT	4176CT3	ClearGreenGurantee9						1	8.39									9-month	9-month	Yes	50							Enroll Now	https://www.clearviewenergy.com/new_enrollment?PlanNumber=3205	fill out information																11-11-2019	for connecticut light and power, also known as eversource, through a third party service provider called clearview	1
4176	Connecticut Light & Power Co	CT	4176CT	4176CT4	ClearGreenGurantee12						1	8.29									12-month	12-month	Yes	50							Enroll Now	https://www.clearviewenergy.com/new_enrollment?PlanNumber=3752	fill out information																11-11-2019	for connecticut light and power, also known as eversource, through a third party service provider called clearview	1
4176	Connecticut Light & Power Co	CT	4176CT	4176CT5	Guranteed Renewable 12						1	10.49				No			100		12-month	12-month	No			Yes					Enroll Now	https://www.verdeenergy.com/get-rates/?UtilityID=138&ProductID=141362	fill out information	submit form															11-11-2019	for connecticut light and power, also known as eversource, through a third party service provider verde energy	1
4176	Connecticut Light & Power Co	CT	4176CT	4176CT6	SimpleClean 12						1	10.59							100		12-month	12-month	Yes	50							Enroll Now	https://www.chooseenergy.com/shop/checkout-ct/residential/CT/06790/personal-info/?electricity=236417&eSlug=xoom-energy-ct-residential-electricity&electricityUtilitySlug=connecticut-light-power-ct-electricity&ref=DESKTOP&newCheckout=false	fill out information																11-11-2019	for connecticut light and power, also known as eversource, through a third party service provider xoom energy	1
733	Appalachian Power Co	VA	733VA	733VA1	100% Renewable Energy Program						1	0.425				No			100		Monthly	No	No			Yes					Enroll Now	https://www.appalachianpower.com/account/bills/manage/RenewableChoices/VA/SignUp.aspx	login																11-14-2019	appalachian power	1
56212	Ambit Energy Holdings, LLC	NY	56212NY	56212NY1	Ambit Green Northeast-Variable	1					0	9.1				No			100		Monthly	No	No		Yes	No					Enroll Now	https://www.ambitenergy.com/rates-and-plans/green-energy	enter zip code	select green plan	fill out information														11-16-2019	Ambit Energy	1
15248	Portland General Electric Co	OR	15248OR	15248OR1	Green Source	0.69	0.24	0.04	0.01	0.02	0	13.4				No			100		Monthly	No	No		Yes						Enroll Now	https://www.portlandgeneral.com/residential/power-choices/renewable-power/green-source	select get green source	sign in or sign up															11-16-2019	Portland General Electric	1
15248	Portland General Electric Co	OR	15248OR	15248OR2	Clean Wind	1					0	12.9				Any	200	2.5			Monthly	No	No		Yes						Enroll Now	https://www.portlandgeneral.com/residential/power-choices/renewable-power/clean-wind	select get clean wind	sign in or sign up															11-16-2019	Portland General Electric 	1
14063	Oklahoma Gas & Electric Co	AR	14063AR	14063AR1	OG&E Wind Power	1					0		.35-.45			No			25;50;100		12-month	12-month									Enroll Now	https://www.oge.com/wps/portal/oge/my-account/signin/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDVCAo4FTkJGTsYGBu7OJfjghBVEY0sgKgfqjCCkpyI0wSHdUVAQAX2fGdw!!/dz/d5/L2dBISEvZ0FBIS9nQSEh/	sign in or sign up																11-16-2019	OG&E	1
14063	Oklahoma Gas & Electric Co	OK	14063OK	14063OK2	OG&E Wind Power	1					0					No			25;50;100		12-month	12-month									Enroll Now	https://www.oge.com/wps/portal/oge/my-account/signin/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDVCAo4FTkJGTsYGBu7OJfjghBVEY0sgKgfqjCCkpyI0wSHdUVAQAX2fGdw!!/dz/d5/L2dBISEvZ0FBIS9nQSEh/	sign in or sign up																11-16-2019	OG&E	1
15470	Duke Energy Indiana, LLC	IN	15470IN	15470IN1	GoGreen Indiana 						1	0.9				Min 2	100	0.9			Monthly	No	No		Yes						Enroll Now	https://www.duke-energy.com/home/products/renewable-energy/gogreen-energy/enroll-online-indiana	fill out information																11-16-2019	Duke Energy Indiana	1
18454	Tampa Electric Co	FL	18454FL	18454FL1	Sun Select		1				0	6.3				No			25;50;100		Monthly	No	No		No						Enroll Now	https://account.tecoenergy.com/Account/Login?ReturnUrl=%2FSolar%2FSunSelectBillEstimator	log in or sign up																11-17-2019	Tampa Electric	1
55	City of Aberdeen - (MS)	MS	55MS	55MS1							1																																								0
155	Agralite Electric Coop	MN	155MN	155MN1							1																																								0
162	Aiken Electric Coop Inc	GA	162GA	162GA1							1																																								0
162	Aiken Electric Coop Inc	SC	162SC	162SC1							1																																								0
195	Alabama Power Co	FL	195FL	195FL1							1																																								0
195	Alabama Power Co	GA	195GA	195GA1							1																																								0
195	Alabama Power Co	MS	195MS	195MS1							1																																								0
207	City of Alameda	CA	207CA	207CA1							1																																								0
241	Albertville Municipal Utilities Board	AL	241AL	241AL1							1																																								0
276	Alcorn County Elec Power Assn	MS	276MS	276MS1							1																																								0
276	Alcorn County Elec Power Assn	TN	276TN	276TN1							1																																								0
296	Alfalfa Electric Coop, Inc	KS	296KS	296KS1							1																																								0
296	Alfalfa Electric Coop, Inc	OK	296OK	296OK1							1																																								0
329	Allamakee-Clayton El Coop, Inc	IA	329IA	329IA1							1																																								0
407	Altamaha Electric Member Corp	GA	407GA	407GA1							1																																								0
416	City of Altus - (OK)	OK	416OK	416OK1							1																																								0
562	Amicalola Electric Member Corp	GA	562GA	562GA1							1																																								0
571	City of Amory	MS	571MS	571MS1							1																																								0
577	City of Alcoa Utilities	TN	577TN	577TN1							1																																								0
590	City of Anaheim - (CA)	CA	590CA	590CA1							1																																								0
689	Connexus Energy	MN	689MN	689MN1							1																																								0
727	Appalachian Electric Coop	TN	727TN	727TN1							1																																								0
733	Appalachian Power Co	KY	733KY	733KY1							1																																								0
733	Appalachian Power Co	OH	733OH	733OH1							1																																								0
733	Appalachian Power Co	TN	733TN	733TN1							1																																								0
733	Appalachian Power Co	WV	733WV	733WV1							1																																								0
750	Arab Electric Coop Inc	AL	750AL	750AL1							1																																								0
803	Arizona Public Service Co	CA	803CA	803CA1							1																																								0
887	Arrowhead Electric Coop, Inc	MN	887MN	887MN1							1																																								0
907	City of Ashland - (OR)	OR	907OR	907OR1							1																																								0
944	City of Athens - (AL)	AL	944AL	944AL1							1																																								0
944	City of Athens - (AL)	TN	944TN	944TN1							1																																								0
947	Athens Utility Board	TN	947TN	947TN1							1																																								0
1015	Austin Energy	TX	1015TX	1015TX1							1																																								0
1149	Baldwin County El Member Corp	AL	1149AL	1149AL1							1																																								0
1251	Barron Electric Coop	WI	1251WI	1251WI1							1																																								0
1283	Bartholomew County Rural E M C	IN	1283IN	1283IN1							1																																								0
1367	Bayfield Electric Coop, Inc	MN	1367MN	1367MN1							1																																								0
1367	Bayfield Electric Coop, Inc	WI	1367WI	1367WI1							1																																								0
1529	Beltrami Electric Coop, Inc	MN	1529MN	1529MN1							1																																								0
1578	Benton County	KY	1578KY	1578KY1							1																																								0
1578	Benton County	TN	1578TN	1578TN1							1																																								0
1579	PUD No 1 of Benton County	WA	1579WA	1579WA1							1																																								0
1582	Benton KY (City of)	KY	1582KY	1582KY1							1																																								0
1613	Berkeley Electric Coop Inc	SC	1613SC	1613SC1							1																																								0
1640	City of Bessemer Utilities	AL	1640AL	1640AL1							1																																								0
1708	Big Sandy Rural Elec Coop Corp	KY	1708KY	1708KY1							1																																								0
